NAMESPACE            NAME                                                   READY   STATUS    RESTARTS   AGE
antrea-capture       antrea-capture-bz977                                   1/1     Running   0          19s
antrea-capture       antrea-capture-h55gv                                   1/1     Running   0          19s
antrea-capture       antrea-capture-zjfbc                                   1/1     Running   0          19s
default              test-traffic-pod                                       1/1     Running   0          17s
kube-system          antrea-agent-jfmtz                                     2/2     Running   0          118s
kube-system          antrea-agent-lrqq8                                     2/2     Running   0          118s
kube-system          antrea-agent-nvpkn                                     2/2     Running   0          118s
kube-system          antrea-controller-7f69c8dc84-z49rs                     1/1     Running   0          118s
kube-system          coredns-7d764666f9-s5cqk                               1/1     Running   0          2m
kube-system          coredns-7d764666f9-xljc8                               1/1     Running   0          2m
kube-system          etcd-antrea-capture-control-plane                      1/1     Running   0          2m8s
kube-system          kube-apiserver-antrea-capture-control-plane            1/1     Running   0          2m8s
kube-system          kube-controller-manager-antrea-capture-control-plane   1/1     Running   0          2m8s
kube-system          kube-proxy-9xjfd                                       1/1     Running   0          2m1s
kube-system          kube-proxy-jnck2                                       1/1     Running   0          2m
kube-system          kube-proxy-rr26h                                       1/1     Running   0          2m
kube-system          kube-scheduler-antrea-capture-control-plane            1/1     Running   0          2m8s
local-path-storage   local-path-provisioner-67b8995b4b-2qcn9                1/1     Running   0          2m
